"","x"
"721","ENSG00000273369"
"722","ENSG00000249936"
"723","ENSG00000248254"
"724","ENSG00000259959"
"725","ENSG00000272576"
"726","ENSG00000269921"
"727","ENSG00000270147"
"728","ENSG00000243199"
"729","ENSG00000272986"
"730","ENSG00000251442"
"731","ENSG00000273156"
"732","ENSG00000261496"
"733","ENSG00000251411"
"734","ENSG00000235043"
"735","ENSG00000183199"
"736","ENSG00000271359"
"737","ENSG00000187653"
"738","ENSG00000271474"
"739","ENSG00000260641"
"740","ENSG00000272777"
"741","ENSG00000245322"
"742","ENSG00000248971"
"743","ENSG00000249264"
"744","ENSG00000248778"
"745","ENSG00000250740"
"746","ENSG00000260526"
"747","ENSG00000241741"
"748","ENSG00000196656"
"749","ENSG00000260404"
"750","ENSG00000225892"
"751","ENSG00000248213"
"752","ENSG00000260091"
"753","ENSG00000273007"
"754","ENSG00000248187"
"755","ENSG00000179967"
"756","ENSG00000273247"
"757","ENSG00000273472"
"758","ENSG00000243175"
"759","ENSG00000260303"
"760","ENSG00000270681"
"761","ENSG00000251603"
"762","ENSG00000251455"
"763","ENSG00000260244"
"764","ENSG00000251429"
"765","ENSG00000273449"
"766","ENSG00000121089"
"767","ENSG00000248632"
"768","ENSG00000251596"
"769","ENSG00000250131"
"770","ENSG00000177822"
"771","ENSG00000249096"
"772","ENSG00000270426"
"773","ENSG00000271646"
"774","ENSG00000233110"
"775","ENSG00000249430"
"776","ENSG00000250848"
"777","ENSG00000063438"
"778","ENSG00000225138"
"779","ENSG00000268885"
"780","ENSG00000251532"
"781","ENSG00000185986"
"782","ENSG00000271119"
"783","ENSG00000188002"
"784","ENSG00000272520"
"785","ENSG00000259802"
"786","ENSG00000272016"
"787","ENSG00000250182"
"788","ENSG00000261360"
"789","ENSG00000233974"
"790","ENSG00000272086"
"791","ENSG00000240376"
"792","ENSG00000215158"
"793","ENSG00000245711"
"794","ENSG00000270558"
"795","ENSG00000251189"
"796","ENSG00000272234"
"797","ENSG00000271788"
"798","ENSG00000272382"
"799","ENSG00000272144"
"800","ENSG00000261604"
"801","ENSG00000249855"
"802","ENSG00000248092"
"803","ENSG00000251141"
"804","ENSG00000272335"
"805","ENSG00000259663"
"806","ENSG00000241809"
"807","ENSG00000272416"
"808","ENSG00000251307"
"809","ENSG00000264281"
"810","ENSG00000226221"
"811","ENSG00000271828"
"812","ENSG00000269961"
"813","ENSG00000229666"
"814","ENSG00000270107"
"815","ENSG00000250138"
"816","ENSG00000198237"
"817","ENSG00000179978"
"818","ENSG00000254701"
"819","ENSG00000253816"
"820","ENSG00000226259"
"821","ENSG00000237075"
"822","ENSG00000205565"
"823","ENSG00000254353"
"824","ENSG00000230847"
"825","ENSG00000251634"
"826","ENSG00000215630"
"827","ENSG00000272093"
"828","ENSG00000272365"
"829","ENSG00000261269"
