"","genes","logFC","logCPM","LR","PValue","FDR"
"178","ENSG00000168918",-1.76916318232621,5.80373464913252,28.9393153890187,7.46816150437172e-08,8.16337181969442e-06
"179","ENSG00000243811",-1.96789752153765,3.12536034285689,28.9268228609491,7.51648159854613e-08,8.17028952306771e-06
"180","ENSG00000245466",-3.50266226800413,-1.4929747488442,28.8351416938598,7.88081534197926e-08,8.51066195851434e-06
"181","ENSG00000123485",-3.23737381932742,0.479550450159846,28.8025516149418,8.01454548133325e-08,8.51066195851434e-06
"182","ENSG00000091622",1.19026384217076,4.03996449450205,28.790437130355,8.064833741148e-08,8.51066195851434e-06
"183","ENSG00000174130",-2.67550458653096,2.9311949361035,28.7890526652252,8.07060086816132e-08,8.51066195851434e-06
"184","ENSG00000171700",-1.47795110894476,3.70978613263987,28.7879146431921,8.07534450628494e-08,8.51066195851434e-06
"185","ENSG00000229164",-2.44018403152991,4.57881682263145,28.783909418164,8.09206178920262e-08,8.51066195851434e-06
"186","ENSG00000259772",-2.50006884795342,1.76229571358787,28.7412632462357,8.27222608000652e-08,8.65337112035951e-06
"187","ENSG00000100055",-2.0183655913826,4.57977093118222,28.7171792373442,8.37574234810309e-08,8.71480314797015e-06
"188","ENSG00000117009",-2.70729431274796,0.373516937179619,28.6789274705624,8.54282807177744e-08,8.84137264854115e-06
"189","ENSG00000185811",-2.43130648705919,4.6276055376706,28.6130706828257,8.83835701502124e-08,9.09883134609885e-06
"190","ENSG00000131401",-3.08873734809608,3.34065883707353,28.4482764497039,9.62354008906868e-08,9.85501155331628e-06
"191","ENSG00000105639",-2.04814703364226,5.80408839719264,28.422239082112,9.75383998832862e-08,9.93614998182774e-06
"192","ENSG00000056558",-1.21562526640179,6.02677186238641,28.3831130570324,9.95297189819149e-08,1.00861965741204e-05
"193","ENSG00000105483",-1.07749991438781,6.24268625982944,28.3594293239213,1.00754843669085e-07,1.01288458695063e-05
"194","ENSG00000196405",-1.24918535251838,7.06786438418607,28.3548832114206,1.00991730414978e-07,1.01288458695063e-05
"195","ENSG00000152213",-2.18027345131286,0.697169702719057,28.2595919093374,1.06087622018104e-07,1.05853685210577e-05
"196","ENSG00000137078",-3.1789165882114,1.62303878207929,28.2082021267748,1.08941933946135e-07,1.08122931071701e-05
"197","ENSG00000012124",-3.21477597284099,5.55784605571753,28.1987846451303,1.09473286843424e-07,1.08122931071701e-05
"198","ENSG00000271856",-4.34116932463783,1.60672865880054,28.086296396184,1.16024505148898e-07,1.1371215792407e-05
"199","ENSG00000266088",-3.6609319817818,0.839748986238401,28.0816870338858,1.16301174008789e-07,1.1371215792407e-05
"200","ENSG00000082512",-1.70964376915982,5.35557301411827,28.0267965653175,1.19647137409255e-07,1.16398717628594e-05
"201","ENSG00000218422",-2.04564086287102,1.35141607522165,27.8804528713541,1.29046896359397e-07,1.24918679724617e-05
"202","ENSG00000160856",-3.72048765015079,3.96139943693575,27.8657231307458,1.30033061214983e-07,1.25250161983164e-05
"203","ENSG00000273064",-1.61353365794125,0.147014082138051,27.8369059616371,1.31984282219157e-07,1.26503358578234e-05
"204","ENSG00000159618",-2.68035544448717,2.47827900304562,27.8096602932722,1.33856075101956e-07,1.27619408488845e-05
"205","ENSG00000258929",-2.90147879557473,-1.01493068960711,27.7996221505358,1.3455238753254e-07,1.27619408488845e-05
"206","ENSG00000100092",-1.68523778722779,3.32913514353088,27.791529336994,1.35116401031516e-07,1.27619408488845e-05
"207","ENSG00000205056",-4.45929255161362,2.15860579305002,27.7508321587466,1.37988834482843e-07,1.29702838286603e-05
"208","ENSG00000115085",-2.35856724277047,4.92962853653491,27.7227048470407,1.40009765356922e-07,1.30969711757194e-05
"209","ENSG00000186185",-3.41588024290956,0.77412399783716,27.6940613499092,1.42098270589024e-07,1.32287370854098e-05
"210","ENSG00000269086",-1.95243551964484,0.874187672532233,27.6626865304098,1.44421773778116e-07,1.33180364630067e-05
"211","ENSG00000198771",-1.66764964265561,4.59810059251705,27.6626237214417,1.44426463159501e-07,1.33180364630067e-05
"212","ENSG00000075218",-2.44769205768736,0.388152830998731,27.6504268411694,1.4533999267587e-07,1.33390577240302e-05
"213","ENSG00000117091",-2.6138722763054,3.15764483993431,27.6390121998102,1.46200178549794e-07,1.33550087983256e-05
"214","ENSG00000112303",-2.28859226260539,2.30465337822679,27.5468237181683,1.53336974720633e-07,1.39414837249503e-05
"215","ENSG00000141506",-2.08233396212905,4.02726051940869,27.5213748094947,1.55367896791208e-07,1.40604333389141e-05
"216","ENSG00000254838",-2.29554118376816,4.45101486662809,27.4360816375455,1.62373272547584e-07,1.46263739072145e-05
"217","ENSG00000174123",-4.68740634854269,3.09663282895422,27.3873339236439,1.66518335549905e-07,1.49306325105738e-05
"218","ENSG00000157456",-2.37655859429564,0.914066874836156,27.2906170109096,1.75058846662198e-07,1.56244035757174e-05
"219","ENSG00000015133",-1.89100570756461,5.16483132356019,27.2497647622597,1.78796881686895e-07,1.58851640501458e-05
"220","ENSG00000124203",-2.56927302438271,2.82123261780894,27.2308344797485,1.80556048657998e-07,1.59685410851757e-05
"221","ENSG00000088325",-2.44270251513207,1.60576350419159,27.2082281508334,1.82679567664803e-07,1.60832413939098e-05
"222","ENSG00000139626",-1.80447730369952,4.28822793990075,27.1938179529688,1.84046230222218e-07,1.61305743307824e-05
"223","ENSG00000230138",-3.94639332515609,-2.09246859829469,27.1740192838878,1.85940662203248e-07,1.62235312308905e-05
"224","ENSG00000115956",-1.93937067508804,4.18643289993257,27.1020994525684,1.92988239283221e-07,1.66967780165226e-05
"225","ENSG00000229754",-3.73513841584056,-0.0111704576002875,27.1011715027972,1.93080899096345e-07,1.66967780165226e-05
"226","ENSG00000005844",-2.45167376849112,5.41787578190816,27.0597876579386,1.97258910822962e-07,1.69825956985945e-05
"227","ENSG00000255624",-2.79838016370396,-1.20546570535557,27.0002207593336,2.03432226228697e-07,1.74369199371443e-05
"228","ENSG00000246582",-1.94337187903092,0.0279571335511125,26.8926616005383,2.15073964608874e-07,1.83539216201529e-05
"229","ENSG00000131747",-2.51438508697892,2.29225581115273,26.8432222577814,2.20646823166359e-07,1.87054701016094e-05
"230","ENSG00000107099",-1.42716019892551,5.45221953370579,26.8369949784368,2.21358955877457e-07,1.87054701016094e-05
"231","ENSG00000162892",-2.57807034452392,2.23951892799745,26.8245724403144,2.22786448337064e-07,1.87054701016094e-05
"232","ENSG00000260719",-3.75130445670409,0.171682286302186,26.8223832940751,2.23038960968977e-07,1.87054701016094e-05
"233","ENSG00000167208",-2.56171526241909,2.42818788316186,26.7582056201861,2.30570554441932e-07,1.92541256556939e-05
"234","ENSG00000102575",-1.91389612774001,3.32115711491994,26.6754861614394,2.40655398492241e-07,2.00103935404424e-05
"235","ENSG00000137841",-2.13778701309496,5.45948221815613,26.6541329005032,2.43329743516781e-07,2.01466673174724e-05
